,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_GOODS_PRICE,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION
5,1383531,199383,Cash loans,23703.93,315000.0,340573.5,315000.0,Everyday expenses,Approved,-684,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low
51,2664403,163660,Cash loans,9804.285,67500.0,82611.0,67500.0,Car repairs,Approved,-766,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
323,1912691,365415,Cash loans,5693.085,45000.0,47970.0,45000.0,Repairs,Approved,-529,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,12.0,high,Cash Street: high
338,2627285,219469,Cash loans,23567.85,229500.0,241920.0,229500.0,Journey,Approved,-920,Cash through the bank,XAP,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low
354,2029849,380539,Cash loans,18982.935,90000.0,92970.0,90000.0,Purchase of electronic equipment,Approved,-611,XNA,XAP,Refreshed,XNA,Cash,walk-in,Country-wide,57,Connectivity,6.0,high,Cash Street: high
410,2424678,442914,Cash loans,17870.445,450000.0,553950.0,450000.0,Repairs,Approved,-862,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
500,2397349,234094,Cash loans,14269.86,67500.0,69727.5,67500.0,Medicine,Approved,-797,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,20,Connectivity,6.0,high,Cash Street: high
536,2561133,356292,Cash loans,11386.17,90000.0,95940.0,90000.0,Purchase of electronic equipment,Approved,-498,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,-1,Connectivity,12.0,high,Cash Street: high
698,1622732,126029,Cash loans,5823.585,45000.0,47970.0,45000.0,Urgent needs,Approved,-426,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,31,Connectivity,12.0,high,Cash Street: high
1013,2558815,319170,Cash loans,28745.055,675000.0,744498.0,675000.0,Repairs,Approved,-595,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,36.0,low_normal,Cash Street: low
1119,2106891,243649,Cash loans,40519.53,675000.0,744498.0,675000.0,Repairs,Approved,-408,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
1200,2409887,344450,Cash loans,5040.0,45000.0,45000.0,45000.0,Everyday expenses,Approved,-2202,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
1388,2460029,306421,Cash loans,24092.775,225000.0,304933.5,225000.0,Urgent needs,Approved,-518,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
1581,1635730,428206,Cash loans,14976.9,67500.0,78007.5,67500.0,Purchase of electronic equipment,Approved,-411,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),8,XNA,6.0,middle,Cash Street: middle
1700,1058682,372131,Cash loans,29129.805,337500.0,368685.0,337500.0,Buying a holiday home / land,Approved,-590,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
1783,1430870,386458,Cash loans,19467.0,540000.0,540000.0,540000.0,Repairs,Approved,-467,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,36.0,low_action,Cash Street: low
1819,1102364,146187,Cash loans,8058.96,67500.0,71955.0,67500.0,Education,Approved,-2143,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
1988,2645123,235407,Cash loans,28941.48,900000.0,1030680.0,900000.0,Buying a holiday home / land,Approved,-358,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
2078,1415588,450772,Cash loans,7765.65,67500.0,71955.0,67500.0,Journey,Approved,-360,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
